Member ID,Gender,Commenced Date,Concluded Date,Membership Length Days,Membership Length Months,Month of Join,Month of Churn,Membership Name,Status,Birth date,Age,Churn Flag,Age Group,Membership Length Group,,,,,Active Member average length days,Lost Member average length days
1101,F,02/20/2026,3/26/2026,48,1,02,,Single Yearly Membership,Active,09/25/1950,75,0,50+,,,,,,276.76,197.03
1102,M,03/23/2026,3/26/2026,17,0,03,,Monthly recurring,Active,05/26/1989,36,0,Thirties,,,,Vlookup reference,,,
1103,M,03/20/2026,3/26/2026,20,0,03,,Monthly recurring,Active,12/17/1982,43,0,Fourties,,,,10,Twenties,,
1104,B,03/09/2026,3/26/2026,31,0,03,,Couples membership,Active,12/14/1987,38,0,Thirties,,,,30,Thirties,,
1105,M,03/06/2026,3/26/2026,34,0,03,,Monthly recurring,Active,12/03/2006,19,0,Twenties,,,,40,Fourties,,
1106,M,03/06/2026,3/26/2026,34,0,03,,Monthly recurring,Active,10/06/1978,47,0,Fourties,,,,50,50+,,
1107,F,03/05/2026,3/26/2026,35,0,03,,Monthly recurring,Active,01/13/1998,28,0,Twenties,,,,,,,
1108,F,02/23/2026,3/26/2026,45,1,02,,Monthly recurring,Active,08/13/2002,23,0,Twenties,,,,,,,
1109,B,03/20/2026,3/26/2026,20,0,03,,Household Membership,Active,07/30/1996,29,0,Twenties,,,,,,,
1110,B,02/12/2026,3/26/2026,56,1,02,,Couples membership,Active,08/14/1979,46,0,Fourties,,,,,,,
1111,M,02/09/2026,3/26/2026,59,1,02,,Monthly recurring,Active,10/06/1968,57,0,50+,,,,churn rate ,,,
1112,F,01/12/2026,3/26/2026,87,2,01,,Monthly recurring,Active,03/28/1976,50,0,50+,,,,67,0.4855072464,,
1113,M,01/07/2026,3/26/2026,92,2,01,,Monthly recurring,Active,01/15/1977,49,0,Fourties,,,,,,,
1114,F,01/05/2026,3/26/2026,94,2,01,,Monthly recurring,Active,01/16/2001,25,0,Twenties,,,,Churn first 6 months ,,,
1115,F,01/05/2026,3/26/2026,94,2,01,,Monthly recurring,Active,06/21/1995,30,0,Thirties,,,,44,,33,
1116,M,01/02/2026,3/26/2026,97,2,01,,Monthly recurring,Active,12/16/2003,22,0,Twenties,,,,,,,
1117,M,12/16/2025,3/26/2026,114,3,12,,Monthly recurring,Active,11/01/1994,31,0,Thirties,,,,0.6567164179,,,
1118,B,10/24/2025,3/26/2026,167,5,10,,Couples membership,Active,11/11/1999,26,0,Twenties,,,,,,,
1119,M,10/06/2025,3/26/2026,185,5,10,,Monthly recurring,Active,02/13/1999,27,0,Twenties,,,,,,,
1120,F,09/15/2025,3/26/2026,206,6,09,,Monthly recurring,Active,10/04/1972,53,0,50+,,,,,,,
1121,F,09/11/2025,3/26/2026,210,6,09,,Monthly recurring,Active,11/13/1965,60,0,50+,,,,,,,
1122,B,09/08/2025,3/26/2026,213,6,09,,Couples membership,Active,08/24/1959,66,0,50+,,,,,,,
1123,M,09/02/2025,3/26/2026,219,6,09,,Monthly recurring,Active,06/21/2005,20,0,Twenties,,,,,,,
1124,B,08/07/2025,3/26/2026,245,7,08,,Couples membership,Active,08/18/1962,63,0,50+,,,,,,,
1125,M,08/04/2025,3/26/2026,248,7,08,,Monthly recurring,Active,04/14/1980,45,0,Fourties,,,,,,,
1126,M,10/14/2025,3/26/2026,177,5,10,,Monthly recurring,Active,02/09/2005,21,0,Twenties,,,,,,,
1127,M,11/10/2025,3/26/2026,150,4,11,,Monthly recurring,Active,01/04/1977,49,0,Fourties,,,,,,,
1128,F,10/08/2025,3/26/2026,183,5,10,,Monthly recurring,Active,06/22/2005,20,0,Twenties,,,,,,,
1129,M,07/14/2025,3/26/2026,269,8,07,,Monthly recurring,Active,06/18/1986,39,0,Thirties,,,,,,,
1130,M,05/17/2025,3/26/2026,327,10,05,,Monthly recurring,Active,01/14/1999,27,0,Twenties,,,,,,,
1131,M,06/03/2025,3/26/2026,310,9,06,,Monthly recurring,Active,09/11/1973,52,0,50+,,,,,,,
1132,B,02/19/2026,3/26/2026,49,1,02,,Monthly recurring,Active,11/06/1987,38,0,Thirties,,,,,,,
1133,F,03/06/2025,3/26/2026,399,12,03,,Monthly recurring,Active,06/12/1970,55,0,50+,,,,,,,
1134,M,02/28/2025,3/26/2026,405,12,02,,Monthly recurring,Active,11/01/2004,21,0,Twenties,,,,,,,
1135,M,01/02/2026,3/26/2026,97,2,01,,Monthly recurring,Active,,,0,,,,,,,,
1136,F,12/08/2025,3/26/2026,122,3,12,,Tanning recurring membership,Active,10/01/1993,32,0,Thirties,,,,,,,
1137,M,09/29/2025,3/26/2026,192,5,09,,Monthly recurring,Active,06/29/2002,23,0,Twenties,,,,,,,
1138,M,12/30/2024,3/26/2026,465,14,12,,Monthly recurring,Active,05/23/1998,27,0,Twenties,,,,,,,
1139,F,02/06/2026,3/26/2026,62,1,02,,Monthly recurring,Active,09/08/1974,51,0,50+,,,,,,,
1140,B,12/19/2024,3/26/2026,476,15,12,,Couples membership,Active,,,0,,,,,,,,
1141,F,12/17/2024,3/26/2026,478,15,12,,Monthly recurring,Active,11/29/1961,64,0,50+,,,,,,,
1142,F,12/12/2024,3/26/2026,483,15,12,,Monthly recurring,Active,06/19/2000,25,0,Twenties,,,,,,,
1143,M,01/09/2025,3/26/2026,455,14,01,,Monthly recurring,Active,,,0,,,,,,,,
1144,M,12/03/2024,3/26/2026,492,15,12,,Monthly recurring,Active,02/08/1961,65,0,50+,,,,,,,
1145,F,11/27/2024,3/26/2026,498,15,11,,Monthly recurring,Active,10/13/1962,63,0,50+,,,,,,,
1146,M,10/29/2025,3/26/2026,162,4,10,,Monthly recurring,Active,10/05/2003,22,0,Twenties,,,,,,,
1147,F,10/04/2024,3/26/2026,552,17,10,,Monthly recurring,Active,05/11/1987,38,0,Thirties,,,,,,,
1148,B,09/30/2024,3/26/2026,556,17,09,,Couples membership,Active,08/11/1949,76,0,50+,,,,,,,
1149,M,11/19/2025,3/26/2026,141,4,11,,Monthly recurring,Active,02/29/1996,30,0,Thirties,,,,,,,
1150,M,06/12/2024,3/26/2026,666,21,06,,Monthly recurring,Active,01/28/1952,74,0,50+,,,,,,,
1151,M,05/09/2025,3/26/2026,335,10,05,,Monthly recurring,Active,02/10/1950,76,0,50+,,,,,,,
1152,M,10/10/2025,3/26/2026,181,5,10,,Monthly recurring,Active,08/10/1983,42,0,Fourties,,,,,,,
1153,B,11/11/2025,3/26/2026,149,4,11,,Couples membership,Active,07/22/1990,35,0,Thirties,,,,,,,
1154,M,07/18/2025,3/26/2026,265,8,07,,Monthly recurring,Active,09/02/1990,35,0,Thirties,,,,,,,
1155,F,02/08/2024,3/26/2026,791,25,02,,Monthly recurring,Active,06/14/1999,26,0,Twenties,,,,,,,
1156,F,02/02/2024,3/26/2026,797,25,02,,Monthly recurring,Active,01/24/1997,29,0,Twenties,,,,,,,
1157,B,01/07/2026,3/26/2026,92,2,01,,Couples membership,Active,,,0,,,,,,,,
1158,B,02/18/2026,3/26/2026,50,1,02,,Couples membership,Active,09/17/1976,49,0,Fourties,,,,,,,
1159,B,02/10/2026,3/26/2026,58,1,02,,Couples membership,Active,12/18/2003,22,0,Twenties,,,,,,,
1160,M,02/03/2026,3/26/2026,65,1,02,,Monthly recurring,Active,,,0,,,,,,,,
1161,M,09/14/2023,3/26/2026,938,30,09,,Monthly recurring,Active,05/08/2001,24,0,Twenties,,,,,,,
1162,B,05/02/2025,3/26/2026,342,10,05,,Couples membership,Active,11/28/1968,57,0,50+,,,,,,,
1163,B,01/16/2026,3/26/2026,83,2,01,,Couples membership,Active,01/17/1972,54,0,50+,,,,,,,
1164,M,03/04/2026,3/26/2026,36,0,03,,Monthly recurring,Active,01/24/1979,47,0,Fourties,,,,,,,
1165,F,08/05/2025,3/26/2026,247,7,08,,Monthly recurring,Active,05/20/1956,69,0,50+,,,,,,,
1166,F,02/18/2026,3/26/2026,50,1,02,,Monthly recurring,Active,12/04/1991,34,0,Thirties,,,,,,,
1167,F,07/05/2023,3/26/2026,1009,32,07,,Monthly recurring,Active,,,0,,,,,,,,
1168,B,01/31/2025,3/26/2026,433,13,01,,Couples membership,Active,,,0,,,,,,,,
1169,B,12/22/2023,3/26/2026,839,27,12,,Couples membership,Active,,,0,,,,,,,,
1170,F,06/21/2023,3/26/2026,1023,33,06,,Monthly recurring,Active,10/01/1990,35,0,Thirties,,,,,,,
1171,F,06/13/2023,3/26/2026,1031,33,06,,Monthly recurring,Active,06/13/2023,,0,,,,,,,,
1002,M,11/18/2025,12/18/2025,30,1,11,12,1 month Gym Membership,Churned,,,1,,1-3,,,,,,
1003,M,11/03/2025,12/15/2025,42,1,11,12,Monthly recurring,Churned,,,1,,1-3,,,,,,
1004,B,10/03/2025,11/03/2025,31,1,10,11,1 month Gym Membership,Churned,,,1,,1-3,,,,,,
1005,M,09/30/2025,11/04/2025,35,1,09,11,Monthly recurring,Churned,,,1,,1-3,,,,,,
1006,F,09/03/2025,10/31/2025,58,1,09,10,Monthly recurring,Churned,,,1,,1-3,,vlookup reference,,,,
1007,F,09/03/2025,12/05/2025,93,3,09,12,Monthly recurring,Churned,,,1,,3-6,,0,0-1,,,
1008,M,08/19/2025,10/09/2025,51,1,08,10,Monthly recurring,Churned,,,1,,1-3,,1,1-3,,,
1009,M,07/08/2025,08/08/2025,31,1,07,08,1 month Gym Membership,Churned,,,1,,1-3,,3,3-6,,,
1010,B,06/12/2025,10/14/2025,124,4,06,10,Couples membership,Churned,,,1,,3-6,,6,6-12,,,
1011,F,06/11/2025,08/21/2025,71,2,06,08,Household Membership,Churned,,,1,,1-3,,13,12+,,,
1012,M,05/28/2025,06/28/2025,31,1,05,06,1 month Gym Membership,Churned,,,1,,1-3,,,,,,
1013,B,05/27/2025,07/14/2025,48,1,05,07,Couples membership,Churned,,,1,,1-3,,,,,,
1014,B,05/12/2025,09/12/2025,123,4,05,09,Household Membership,Churned,,,1,,3-6,,,,,,
1015,F,05/05/2025,09/04/2025,122,3,05,09,Monthly recurring,Churned,,,1,,3-6,,,,,,
1016,M,05/01/2025,06/01/2025,31,1,05,06,1 month Gym Membership,Churned,,,1,,1-3,,,,,,
1017,M,04/28/2025,06/27/2025,60,1,04,06,Monthly recurring,Churned,,,1,,1-3,,,,,,
1018,M,04/21/2025,05/29/2025,38,1,04,05,Monthly recurring,Churned,,,1,,1-3,,,,,,
1019,M,03/29/2025,04/29/2025,31,1,03,04,Couples - Tax Exempt,Churned,,,1,,1-3,,,,,,
1020,F,03/19/2025,08/12/2025,146,4,03,08,Monthly recurring,Churned,,,1,,3-6,,,,,,
1022,F,03/17/2025,04/29/2025,43,1,03,04,Monthly recurring,Churned,,,1,,1-3,,,,,,
1024,F,03/13/2025,08/21/2025,161,5,03,08,Monthly recurring,Churned,,,1,,3-6,,,,,,
1025,F,03/13/2025,09/04/2025,175,5,03,09,Monthly recurring,Churned,,,1,,3-6,,,,,,
1026,F,03/13/2025,05/05/2025,53,1,03,05,Monthly recurring,Churned,,,1,,1-3,,,,,,
1027,F,03/12/2025,04/11/2025,30,0,03,04,Tanning recurring membership,Churned,,,1,,0-1,,,,,,
1028,F,03/10/2025,06/09/2025,91,2,03,06,Monthly recurring,Churned,,,1,,1-3,,,,,,
1029,F,03/10/2025,05/07/2025,58,1,03,05,Monthly recurring,Churned,,,1,,1-3,,,,,,
1030,M,03/06/2025,07/17/2025,133,4,03,07,Monthly recurring,Churned,,,1,,3-6,,,,,,
1031,M,03/06/2025,05/07/2025,62,2,03,05,Monthly recurring,Churned,,,1,,1-3,,,,,,
1032,F,03/05/2025,07/14/2025,131,4,03,07,Tanning recurring membership,Churned,,,1,,3-6,,,,,,
1033,F,02/28/2025,02/28/2025,0,0,02,02,Monthly recurring,Churned,,,1,,0-1,,,,,,
1034,M,02/11/2025,10/15/2025,246,8,02,10,Monthly recurring,Churned,,,1,,6-12,,,,,,
1035,M,02/07/2025,12/02/2025,298,9,02,12,Monthly recurring,Churned,,,1,,6-12,,,,,,
1036,M,02/05/2025,03/05/2025,28,1,02,03,Couples - Tax Exempt,Churned,,,1,,1-3,,,,,,
1037,M,02/04/2025,05/29/2025,114,3,02,05,Monthly recurring,Churned,,,1,,3-6,,,,,,
1038,F,02/03/2025,03/11/2025,36,1,02,03,Tanning recurring membership,Churned,,,1,,1-3,,,,,,
1039,B,01/31/2025,02/27/2025,27,0,01,02,Couples membership,Churned,,,1,,0-1,,,,,,
1040,M,01/30/2025,02/03/2025,4,0,01,02,1 month Gym Membership,Churned,,,1,,0-1,,,,,,
1041,B,01/28/2025,03/03/2025,34,1,01,03,Couples membership,Churned,,,1,,1-3,,,,,,
1043,F,01/08/2025,03/11/2025,62,2,01,03,Monthly recurring,Churned,,,1,,1-3,,,,,,
1044,F,01/03/2025,09/04/2025,244,8,01,09,Monthly recurring,Churned,,,1,,6-12,,,,,,
1045,M,12/30/2024,12/29/2025,364,11,12,12,Monthly recurring,Churned,,,1,,6-12,,,,,,
1046,F,12/17/2024,07/01/2025,196,6,12,07,Monthly recurring,Churned,,,1,,6-12,,,,,,
1047,F,12/12/2024,10/14/2025,306,10,12,10,Monthly recurring,Churned,,,1,,6-12,,,,,,
1048,M,12/11/2024,01/11/2025,31,1,12,01,1 month Gym Membership,Churned,,,1,,1-3,,,,,,
1049,B,12/07/2024,05/05/2025,149,4,12,05,Couples membership,Churned,,,1,,3-6,,,,,,
1050,F,11/14/2024,03/03/2025,109,3,11,03,Tanning recurring membership,Churned,,,1,,3-6,,,,,,
1051,F,11/11/2024,04/28/2025,168,5,11,04,Monthly recurring,Churned,,,1,,3-6,,,,,,
1052,F,11/05/2024,12/21/2025,411,13,11,12,Monthly recurring,Churned,,,1,,12+,,,,,,
1053,M,10/22/2024,10/21/2025,364,11,10,10,Monthly recurring,Churned,,,1,,6-12,,,,,,
1054,F,10/22/2024,05/22/2025,212,7,10,05,Monthly recurring,Churned,,,1,,6-12,,,,,,
1055,B,10/07/2024,01/28/2025,113,3,10,01,Couples membership,Churned,,,1,,3-6,,,,,,
1056,F,10/02/2024,03/03/2025,152,5,10,03,Monthly recurring,Churned,,,1,,3-6,,,,,,
1057,M,09/06/2024,04/07/2025,213,7,09,04,Monthly recurring,Churned,,,1,,6-12,,,,,,
1058,M,08/19/2024,07/01/2025,316,10,08,07,Monthly recurring,Churned,,,1,,6-12,,,,,,
1059,B,07/30/2024,07/22/2025,357,11,07,07,Couples membership,Churned,,,1,,6-12,,,,,,
1060,M,06/13/2024,11/07/2025,512,16,06,11,Monthly recurring,Churned,,,1,,12+,,,,,,
1061,F,06/11/2024,03/11/2025,273,9,06,03,Monthly recurring,Churned,,,1,,6-12,,,,,,
1062,F,03/15/2024,03/11/2025,361,11,03,03,Monthly recurring,Churned,,,1,,6-12,,,,,,
1063,F,02/08/2024,02/20/2025,378,12,02,02,Monthly recurring,Churned,,,1,,6-12,,,,,,
1064,M,01/29/2024,06/03/2025,491,16,01,06,Monthly recurring,Churned,,,1,,12+,,,,,,
1065,F,12/05/2023,08/12/2025,616,20,12,08,Monthly recurring,Churned,,,1,,12+,,,,,,
1066,F,08/24/2023,10/11/2025,779,25,08,10,Monthly recurring,Churned,,,1,,12+,,,,,,
1067,B,08/21/2023,01/13/2025,511,16,08,01,Couples membership,Churned,,,1,,12+,,,,,,
1068,F,08/02/2023,07/01/2025,699,22,08,07,Monthly recurring,Churned,,,1,,12+,,,,,,
1069,M,07/28/2023,07/24/2025,727,23,07,07,Monthly recurring,Churned,,,1,,12+,,,,,,
1070,F,07/21/2023,03/11/2025,599,19,07,03,Monthly recurring,Churned,,,1,,12+,,,,,,
1071,F,06/19/2023,01/07/2025,568,18,06,01,Monthly recurring,Churned,,,1,,12+,,,,,,